City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Carnarvon,AU,-24.87,113.63,64.4,48,91,8.05,overcast clouds
83,Sao Joao Da Barra,BR,-21.64,-41.05,73.18,85,0,16.84,clear sky
84,Longyearbyen,SJ,78.22,15.64,42.8,70,75,16.11,broken clouds
85,Guerrero Negro,MX,27.98,-114.06,78.57,63,0,17.69,clear sky
86,Hurghada,EG,27.26,33.81,81.07,51,0,16.98,clear sky
87,Vanimo,PG,-2.67,141.3,86.85,58,0,7.49,clear sky
88,Laguna,US,38.42,-121.42,97.0,18,75,4.7,broken clouds
89,Nkhata Bay,MW,-11.61,34.29,70.48,58,100,4.09,overcast clouds
90,Altamira,BR,-3.2,-52.21,79.74,53,40,3.38,scattered clouds
91,Hualmay,PE,-11.1,-77.61,59.74,84,40,9.89,scattered clouds
92,Coxim,BR,-18.51,-54.76,78.89,46,62,16.6,broken clouds
93,Grand Gaube,MU,-20.01,57.66,68.0,66,9,1.99,clear sky
94,Mahina,PF,-17.51,-149.49,82.4,65,75,3.36,shower rain
95,Mahebourg,MU,-20.41,57.7,68.0,82,75,8.05,shower rain
96,Kaitangata,NZ,-46.28,169.85,51.01,81,61,5.01,broken clouds
97,Victoria,HK,22.29,114.16,84.99,84,67,10.0,broken clouds
98,Tiksi,RU,71.69,128.87,39.97,88,100,6.22,overcast clouds
99,Izumo,JP,35.37,132.77,89.6,62,40,9.17,scattered clouds
100,Kroya,ID,-7.63,109.25,81.93,69,38,2.28,scattered clouds
101,Novoagansk,RU,61.94,76.66,57.18,87,13,8.16,few clouds
102,Namibe,AO,-15.2,12.15,63.52,88,0,2.86,clear sky
103,Kavieng,PG,-2.57,150.8,84.13,73,67,9.82,light rain
104,Avarua,CK,-21.21,-159.78,75.2,73,97,25.28,overcast clouds
105,Batagay-Alyta,RU,67.8,130.41,39.94,71,95,5.64,overcast clouds
106,Bone,DE,51.97,12.14,61.0,83,100,5.64,overcast clouds
107,Saint-Philippe,RE,-21.36,55.77,69.01,68,90,3.36,overcast clouds
108,Beisfjord,NO,68.38,17.6,48.2,93,99,5.82,light rain
109,Talaya,RU,61.38,152.75,47.95,86,100,11.59,moderate rain
110,Road Town,VG,18.42,-64.62,84.0,82,0,13.0,clear sky
111,Kodiak,US,57.79,-152.41,62.6,67,90,9.17,overcast clouds
112,Geraldton,AU,-28.77,114.6,57.2,71,32,8.05,scattered clouds
113,Yulara,AU,-25.24,130.99,64.4,31,0,9.17,clear sky
114,Richards Bay,ZA,-28.78,32.04,56.41,72,58,6.08,broken clouds
115,Cape Town,ZA,-33.93,18.42,55.0,87,75,8.05,broken clouds
116,Venice,US,27.1,-82.45,80.6,83,1,3.56,clear sky
117,Yellowknife,CA,62.46,-114.35,59.0,100,90,8.05,light rain
118,Ordubad,AZ,38.91,46.02,69.8,56,0,6.93,clear sky
119,Atuona,PF,-9.8,-139.03,78.48,77,14,15.61,few clouds
120,Dunedin,NZ,-45.87,170.5,50.0,86,50,8.99,scattered clouds
121,Keningau,MY,5.34,116.16,82.4,78,20,8.05,few clouds
122,Madingou,CG,-4.15,13.55,73.51,82,98,4.23,overcast clouds
123,Daru,PG,-9.08,143.21,80.51,66,9,8.23,clear sky
124,Barrow,US,71.29,-156.79,41.0,86,90,11.41,overcast clouds
125,Togul,RU,53.47,85.91,61.83,81,36,7.52,scattered clouds
126,Puerto Quijarro,BO,-17.78,-57.77,75.34,72,86,11.92,overcast clouds
127,Saskylakh,RU,71.92,114.08,45.91,61,100,4.81,overcast clouds
128,Oyem,GA,1.6,11.58,68.72,97,98,4.32,overcast clouds
129,Lompoc,US,34.64,-120.46,70.0,60,90,10.29,haze
130,Kasane,BW,-17.82,25.15,50.7,37,0,4.32,clear sky
131,Preobrazheniye,RU,42.9,133.91,61.43,88,100,7.2,light rain
132,Half Moon Bay,US,37.46,-122.43,89.6,82,1,12.88,clear sky
133,Puerto Ayora,EC,-0.74,-90.35,66.99,92,90,5.01,overcast clouds
134,Suoyarvi,RU,62.08,32.35,49.68,78,33,4.16,scattered clouds
135,Saint George,US,37.1,-113.58,107.6,9,1,16.11,clear sky
136,Navirai,BR,-23.07,-54.19,56.48,96,100,4.79,light rain
137,Yablonovo,RU,50.85,37.36,62.6,67,47,8.95,light rain
138,Magadan,RU,59.57,150.8,54.25,86,100,23.33,light rain
139,Chapais,CA,49.78,-74.85,51.8,81,20,8.05,few clouds
140,Ust-Nera,RU,64.57,143.2,47.64,65,100,7.49,overcast clouds
141,Tilichiki,RU,60.47,166.1,53.17,76,100,22.21,overcast clouds
142,Port Alfred,ZA,-33.59,26.89,50.45,70,1,8.68,clear sky
143,Dingle,PH,11.0,122.67,77.4,89,100,2.57,overcast clouds
144,Cairns,AU,-16.92,145.77,88.0,33,0,1.12,clear sky
145,Livramento,BR,-3.03,-60.18,86.0,70,11,4.7,few clouds
146,Nome,US,64.5,-165.41,57.0,81,75,14.99,broken clouds
147,Port Hardy,CA,50.7,-127.42,62.6,88,90,18.34,overcast clouds
148,Lavrentiya,RU,65.58,-171.0,55.51,66,72,9.22,broken clouds
149,Copiapo,CL,-27.37,-70.33,51.8,81,0,2.24,clear sky
150,Kruisfontein,ZA,-34.0,24.73,46.26,63,2,7.99,clear sky
151,Hobart,AU,-42.88,147.33,54.0,50,20,20.8,few clouds
152,Manitouwadge,CA,49.12,-85.84,54.3,98,100,4.5,overcast clouds
153,Ilulissat,GL,69.22,-51.1,51.8,43,0,5.82,clear sky
154,Kikwit,CD,-5.04,18.82,77.79,74,100,3.04,overcast clouds
155,Stettler,CA,52.32,-112.72,73.0,69,100,4.0,light rain
156,Flinders,AU,-34.58,150.86,62.01,47,0,18.01,clear sky
157,Tazmalt,DZ,36.39,4.4,75.2,53,44,4.7,scattered clouds
158,Iqaluit,CA,63.75,-68.51,44.6,93,90,10.29,overcast clouds
159,Bethel,US,41.37,-73.41,66.2,88,40,3.36,scattered clouds
